id,vote
904,About 50/50 chance
905,Certain to vote
906,Certain to vote
907,Certain to vote
908,Will probably vote
909,Certain to vote
910,Certain to vote
911,Will probably vote
912,Certain to vote
913,Certain to vote
914,Certain to vote
915,Certain to vote
916,Will probably vote
917,Certain to vote
918,Certain to vote
919,Certain to vote
920,Certain to vote
921,Certain to vote
922,Certain to vote
923,Certain to vote
924,About 50/50 chance
925,Certain to vote
926,Certain to vote
927,Certain to vote
928,Certain to vote
929,Certain to vote
930,Certain to vote
931,Probably will not vote
932,Certain to vote
933,Will probably vote
934,Certain to vote
935,Will probably vote
936,Certain to vote
937,Certain to vote
938,About 50/50 chance
939,Will probably vote
940,Certain to vote
941,Certain to vote
942,Will probably vote
943,Certain to vote
944,Certain to vote
945,Certain to vote
946,Certain to vote
947,Certain to vote
948,Certain to vote
949,Will probably vote
950,Certain to vote
951,Certain to vote
952,Certain to vote
953,Certain to vote
954,Certain to vote
955,Certain to vote
956,Certain to vote
957,Certain to vote
958,Certain to vote
959,Will probably vote
960,Will probably vote
961,Certain to vote
962,Will probably vote
963,Certain to vote
964,Will probably vote
965,Certain to vote
966,Certain to vote
967,Certain to vote
968,Certain to vote
969,Certain to vote
970,Certain to vote
971,Certain to vote
972,Certain to vote
973,Certain to vote
974,Not sure
975,Certain to vote
976,Certain to vote
977,Certain to vote
978,Certain to vote
979,Certain to vote
980,Certain to vote
981,Certain to vote
982,Will probably vote
983,Certain to vote
984,Certain to vote
985,About 50/50 chance
986,Certain to vote
987,Certain to vote
988,Certain to vote
989,Certain to vote
990,About 50/50 chance
991,Will probably vote
992,About 50/50 chance
993,Will probably vote
994,Will probably vote
995,Certain to vote
996,Certain to vote
997,Certain to vote
998,Certain to vote
999,Certain to vote
1000,Probably will not vote
1001,Certain to vote
1002,Certain to vote
1003,Certain to vote
1004,Certain to vote
1005,Will probably vote
1006,Will probably vote
1007,Certain to vote
1008,Certain to vote
1009,Certain to vote
1010,Certain to vote
1011,Certain to vote
1012,Certain to vote
1013,Certain to vote
1014,Certain to vote
1015,Certain to vote
1016,Certain to vote
1017,Certain to vote
1018,Certain to vote
1019,Certain to vote
1020,Will probably vote
1021,Certain to vote
1022,Certain to vote
1023,Certain to vote
1024,Certain to vote
1025,Certain to vote
1026,Will probably vote
1027,Certain to vote
1028,Probably will not vote
1029,Will probably vote
1030,Will probably vote
1031,Will probably vote
1032,Certain to vote
1033,Certain to vote
1034,Certain to vote
1035,About 50/50 chance
1036,Certain to vote
1037,Probably will not vote
1038,Will probably vote
1039,About 50/50 chance
1040,Certain to vote
1041,Certain to vote
1042,About 50/50 chance
1043,Certain to vote
1044,Certain to vote
1045,Certain to vote
1046,Will probably vote
1047,Will probably vote
1048,Certain to vote
1049,Probably will not vote
1050,Certain to vote
1051,Certain to vote
1052,Certain to vote
1053,Certain to vote
1054,Certain to vote
1055,Probably will not vote
1056,Certain to vote
1057,Certain to vote
1058,Certain to vote
1059,Certain to vote
1060,Certain to vote
1061,Will probably vote
1062,Certain to vote
1063,Certain to vote
1064,Certain to vote
1065,Certain to vote
1066,Will probably vote
1067,Will probably vote
1068,Certain to vote
1069,Probably will not vote
1070,Certain to vote
1071,Certain to vote
1072,Certain to vote
1073,Certain to vote
1074,Certain to vote
1075,Probably will not vote
1076,Certain to vote
1077,About 50/50 chance
1078,Certain to vote
1079,Certain to vote
1080,Certain to vote
1081,Certain to vote
1082,About 50/50 chance
1083,Will probably vote
1084,Certain to vote
1085,Certain to vote
1086,Certain to vote
1087,Certain to vote
1088,About 50/50 chance
1089,Certain to vote
1090,Certain to vote
1091,Certain to vote
1092,Will probably vote
1093,About 50/50 chance
1094,Will probably vote
1095,Certain to vote
1096,Certain to vote
1097,Certain to vote
1098,Certain to vote
1099,Certain to vote
1100,Certain to vote
1101,Certain to vote
1102,Certain to vote
1103,Certain to vote
1104,Certain to vote
1105,Certain to vote
1106,Certain to vote
1107,About 50/50 chance
1108,Certain to vote
1109,Certain to vote
1110,About 50/50 chance
1111,Will probably vote
1112,Certain to vote
1113,Certain to vote
1114,Certain to vote
1115,Certain to vote
1116,Will probably vote
1117,Certain to vote
1118,Will probably vote
1119,Will probably vote
1120,Certain to vote
1121,Certain to vote
1122,Certain to vote
1123,Certain to vote
1124,Certain to vote
1125,Certain to vote
1126,Certain to vote
1127,Will probably vote
1128,Certain to vote
1129,Certain to vote
1130,Certain to vote
1131,Will probably vote
1132,Certain to vote
1133,Certain to vote
1134,Certain to vote
1135,Certain to vote
1136,Certain to vote
1137,Certain to vote
1138,Certain to vote
1139,Certain to vote
1140,Certain to vote
1141,About 50/50 chance
1142,Certain to vote
1143,About 50/50 chance
1144,Certain to vote
1145,Certain to vote
1146,Certain to vote
1147,Certain to vote
1148,Certain to vote
1149,Certain to vote
1150,Certain to vote
1151,Certain to vote
1152,Certain to vote
1153,Not sure
1154,Will probably vote
1155,Certain to vote
1156,Certain to vote
1157,Will probably vote
1158,Will probably vote
1159,Probably will not vote
1160,Certain to vote
1161,About 50/50 chance
1162,Certain to vote
1163,Certain to vote
1164,Certain to vote
1165,About 50/50 chance
1166,Certain to vote
1167,Will probably vote
1168,Certain to vote
1169,Certain to vote
1170,Certain to vote
1171,About 50/50 chance
1172,Certain to vote
1173,About 50/50 chance
1174,Will probably vote
1175,Certain to vote
1176,About 50/50 chance
1177,Certain to vote
1178,Certain to vote
1179,Certain to vote
1180,Certain to vote
1181,Certain to vote
1182,Certain to vote
1183,Will probably vote
1184,Certain to vote
1185,Certain to vote
1186,Certain to vote
1187,Certain to vote
1188,Will probably vote
1189,Certain to vote
1190,Certain to vote
1191,Certain to vote
1192,Certain to vote
1193,Certain to vote
1194,Certain to vote
1195,Will probably vote
1196,Probably will not vote
1197,Certain to vote
1198,About 50/50 chance
1199,Certain to vote
1200,Will probably vote
1201,Will probably vote
1202,About 50/50 chance
1203,Certain to vote
1204,About 50/50 chance
1205,Certain to vote
1206,Certain to vote
1207,Certain to vote
1208,Certain to vote
1209,Certain to vote
1210,Will probably vote
1211,Certain to vote
1212,About 50/50 chance
1213,Certain to vote
1214,Certain to vote
1215,About 50/50 chance
1216,About 50/50 chance
1217,Certain to vote
1218,Certain to vote
